;CrawledSite;URL;Site;Method;Origin
40;https://www.allianz.com;https://m.addthis.com/live/red_lojson/300lo.json?si=5af8b113692c7aae&bkl=0&bl=1&pdt=1380&sid=5af8b113692c7aae&pub=&rev=v8.3.12-wp&ln=en&pc=men&cb=0&ab=-&dp=www.allianz.com&fp=en%2F&fr=&of=0&pd=0&irt=0&vcl=0&md=0&ct=1&tct=0&abt=0&cdn=0&pi=1&rb=0&gen=100&chr=UTF-8&colc=1526247699705&jsl=1&uvs=5af8b113f09d0548000&skipb=1&callback=addthis.cbs.oln9_44111005125124690;m.addthis.com;GET;
41;https://www.allianz.com;https://s7.addthis.com/static/sh.1836a2a6d9443e6d814c8dfc.html;s7.addthis.com;GET;
42;https://www.allianz.com;https://stats.g.doubleclick.net/r/collect?v=1&aip=1&t=dc&_r=3&tid=UA-63127150-1&cid=88189237.1526247700&jid=1918601215&_gid=418482796.1526247700&gjid=1252451003&_v=j67&z=2089286627;stats.g.doubleclick.net;GET;
43;https://www.allianz.com;https://googleads.g.doubleclick.net/pagead/id;googleads.g.doubleclick.net;GET;https://www.youtube.com
44;https://www.allianz.com;https://www.google.com/js/bg/MEvUX7_3jG2ZA1Y0TqXguyXebcr29rWfKTXiIp5KkyU.js;www.google.com;GET;
45;https://www.allianz.com;https://static.doubleclick.net/instream/ad_status.js;static.doubleclick.net;GET;
46;https://www.allianz.com;https://charts3.equitystory.com/clients/allianz/css/images/up.gif;charts3.equitystory.com;GET;
47;https://www.allianz.com;https://charts3.equitystory.com/clients/allianz/css/images/down.gif;charts3.equitystory.com;GET;
48;https://www.allianz.com;https://googleads.g.doubleclick.net/pagead/id?slf_rd=1;googleads.g.doubleclick.net;GET;
49;https://www.allianz.com;https://googleads.g.doubleclick.net/pagead/id?slf_rd=1;googleads.g.doubleclick.net;GET;https://www.youtube.com
50;https://www.allianz.com;https://www.youtube.com/ad_data_204;www.youtube.com;POST;https://www.youtube.com
51;https://www.munichre.com;https://www.munichre.com/;www.munichre.com;GET;
52;https://www.munichre.com;https://www.munichre.com/en/homepage/index.html;www.munichre.com;GET;
53;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/media.css;www.munichre.com;GET;
54;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_master.css;www.munichre.com;GET;
55;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_color.css;www.munichre.com;GET;
56;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/shariff.complete.css;www.munichre.com;GET;
57;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_master_retina.css;www.munichre.com;GET;
58;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/mr_color_retina.css;www.munichre.com;GET;
59;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/picturefill.min.js;www.munichre.com;GET;
60;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/libs/jquery/js/jquery-1.11.1.min.js;www.munichre.com;GET;
61;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/libs/jquery-ui/css/smoothness/jquery-ui-1.10.2.custom.css;www.munichre.com;GET;
62;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/libs/jquery-ui/js/jquery-ui-1.10.2.custom.min.js;www.munichre.com;GET;
63;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jqueryui-jquerytools-conflictfix.js;www.munichre.com;GET;
64;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/content/content.css;www.munichre.com;GET;
65;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceTemplate/-/283446/14150954972999/resource.content-colors.css;www.munichre.com;GET;
66;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/content/js/content.js;www.munichre.com;GET;
67;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/search/js/search.js;www.munichre.com;GET;
68;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/pluginLib/pluginLib.1760059337.js;www.munichre.com;GET;
69;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/pluginLib/pluginLib.1062431951.css;www.munichre.com;GET;
70;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/contentform/plugin.js;www.munichre.com;GET;
71;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.fancybox-2.1.5.js;www.munichre.com;GET;
72;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/pns_lib.js;www.munichre.com;GET;
73;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery-migrate-1.4.1.js;www.munichre.com;GET;
74;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.tools.min.js;www.munichre.com;GET;
75;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/swfobject.js;www.munichre.com;GET;
76;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.placeholder.js;www.munichre.com;GET;
77;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.cookie.js;www.munichre.com;GET;
78;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/imagesloaded.pkgd.min.js;www.munichre.com;GET;
79;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/flexslider.css;www.munichre.com;GET;
80;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.flexslider-min.js;www.munichre.com;GET;
81;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/jquery.powertip.min.css;www.munichre.com;GET;
82;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/jquery.powertip.min.js;www.munichre.com;GET;
83;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/corporate.css;www.munichre.com;GET;
84;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/corporate_color.css;www.munichre.com;GET;
85;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/corporate_dom_ops.js;www.munichre.com;GET;
86;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/easyXDM.js;www.munichre.com;GET;
87;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/topicsonline.js;www.munichre.com;GET;
88;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/js/overlay.js;www.munichre.com;GET;
89;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/topicsonline.css;www.munichre.com;GET;
90;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/topicsonline_retina.css;www.munichre.com;GET;
91;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/templates/css/topicsonline2.css;www.munichre.com;GET;
92;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/css/rwd_tablet_portrait.css;www.munichre.com;GET;
93;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/enquire-2.1.0.min.js;www.munichre.com;GET;
94;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/mobile_dom_ops.js;www.munichre.com;GET;
95;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.tinysort.min.js;www.munichre.com;GET;
96;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.touchSwipe.min.js;www.munichre.com;GET;
97;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.fixedheadertable.min.js;www.munichre.com;GET;
98;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/jquery.tableTransformer.js;www.munichre.com;GET;
99;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/mobile/js/pageSwiper.js;www.munichre.com;GET;
100;https://www.munichre.com;https://www.munichre.com/site/corporate/resourceCached/14150954972999/browserinfo/browserinfo.js;www.munichre.com;GET;
